Title,location,Price,urls
Brand New House For Sale Location Sector B1 Bahria Enclave Islamabad,"Bahria Enclave - Sector B1, Bahria Enclave",3.1 Crore,https://www.zameen.com//Property/bahria_enclave_bahria_enclave_-_sector_b1_brand_new_house_for_sale_location_sector_b1_bahria_enclave_islamabad-47097171-11972-1.html
Corner House For Sale Location Sector H Main Boulevard Bahria Enclave Islamabad,"Bahria Enclave - Sector H, Bahria Enclave",2.12 Crore,https://www.zameen.com//Property/bahria_enclave_bahria_enclave_-_sector_h_corner_house_for_sale_location_sector_h_main_boulevard_bahria_enclave_islamabad-47394447-11983-1.html
Top Location Beautiful House With Best Design For Sale,"DHA Defence Phase 2, DHA Defence",10.75 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_top_location_beautiful_house_with_best_design_for_sale-45573326-339-1.html
5.5 Marla 4 Bed Luxurious Designer Double Unit House For Sale,"DHA Defence Phase 2, DHA Defence",3.4 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_5_5_marla_4_bed_luxurious_designer_double_unit_house_for_sale-45890552-339-1.html
Single Unit Brand New House For Sale At Dha Phase 2,"DHA Defence Phase 2, DHA Defence",13 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_single_unit_brand_new_house_for_sale_at_dha_phase_2-45600470-339-1.html
Brand New Single Unit House In Dha Phase 2 Islamabad,"DHA Defence Phase 2, DHA Defence",11.95 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_brand_new_single_unit_house_in_dha_phase_2_islamabad-45600433-339-1.html
1 Kanal Designer House For Sale At Outclass Location,"DHA Defence Phase 2, DHA Defence",11.9 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_1_kanal_designer_house_for_sale_at_outclass_location-45600391-339-1.html
One kanal brand new beautiful triple unit HousePrime location of Dha2,"DHA Defence Phase 2, DHA Defence",11 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_one_kanal_brand_new_beautiful_triple_unit_houseprime_location_of_dha2-47042439-339-1.html
One Kanal Brand New Beautiful Luxurious House Prime Location Of Dha 2,"DHA Defence Phase 2, DHA Defence",10.5 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_one_kanal_brand_new_beautiful_luxurious_house_prime_location_of_dha_2-47078963-339-1.html
One Kanal Beautiful Corner House Prime Location Of Dha 2,"DHA Defence Phase 2, DHA Defence",7.9 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_one_kanal_beautiful_corner_house_prime_location_of_dha_2-47079179-339-1.html
40x80 Single Storey House For Sale At Very Wide Road.,"I-8, Islamabad",10.5 Crore,https://www.zameen.com//Property/islamabad_i-8_40x80_single_storey_house_for_sale_at_very_wide_road-48035372-174-1.html
35x80 House For Sale In Closed End Street,"I-8, Islamabad",12.5 Crore,https://www.zameen.com//Property/islamabad_i-8_35x80_house_for_sale_in_closed_end_street-48035470-174-1.html
Beautifully Constructed Prime Location Flat Is Available For sale In Faisal Town - F-18,"Faisal Town - F-18, Islamabad",69.81 Lakh,https://www.zameen.com//Property/islamabad_faisal_town_-_f-18_beautifully_constructed_prime_location_flat_is_available_for_sale_in_faisal_town_-_f-18-48142349-8260-1.html
4 Marla Used House For Sale In G-13/1 Islamabad,"G-13, Islamabad",3.2 Crore,https://www.zameen.com//Property/islamabad_g-13_4_marla_used_house_for_sale_in_g-13_1_islamabad-48098083-330-1.html
Brand New One Kanal House For Sale At Prime Location,"DHA Defence Phase 2, DHA Defence",11.5 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_brand_new_one_kanal_house_for_sale_at_prime_location-47377994-339-1.html
5 Marla Single Storey House For Sale In Ghauri Town Phase 4c2,"Ghauri Town Phase 4 C2, Ghauri Town",1.15 Crore,https://www.zameen.com//Property/ghauri_town_ghauri_town_phase_4_c2_5_marla_single_storey_house_for_sale_in_ghauri_town_phase_4c2-47773653-16230-1.html
Corner House Spread Over 13 Marla In DHA Phase 3 - Block B Available,"DHA Phase 3 - Block B, DHA Defence Phase 3",5.9 Crore,https://www.zameen.com//Property/dha_defence_phase_3_dha_phase_3_-_block_b_corner_house_spread_over_13_marla_in_dha_phase_3_-_block_b_available-48074474-16227-1.html
10 Marla Double Story House Available For Sale In Gulberg Greens Islamabad,"Gulberg Greens, Gulberg",4.7 Crore,https://www.zameen.com//Property/gulberg_gulberg_greens_10_marla_double_story_house_available_for_sale_in_gulberg_greens_islamabad-47953528-8312-1.html
Beautiful New House For Sale,"Soan Garden, Islamabad",4.5 Crore,https://www.zameen.com//Property/islamabad_soan_garden_beautiful_new_house_for_sale-48007875-338-1.html
1120 Square Feet Spacious Flat Is Available In Park View City For Sale,"Park View City, Islamabad",2.07 Crore,https://www.zameen.com//Property/islamabad_park_view_city_1120_square_feet_spacious_flat_is_available_in_park_view_city_for_sale-47915547-10933-1.html
Green Heights 1 Bed Size 470 Sqft Residential Apartment On Investors Price For Sale,"B-17, Islamabad",38 Lakh,https://www.zameen.com//Property/islamabad_b-17_green_heights_1_bed_size_470_sqft_residential_apartment_on_investors_price_for_sale-47418915-616-1.html
Green Heights 2 Bed Size 925 sqft Residential Apartment on INVESTORS PRICE For Sale,"B-17, Islamabad",69.38 Lakh,https://www.zameen.com//Property/islamabad_b-17_green_heights_2_bed_size_925_sqft_residential_apartment_on_investors_price_for_sale-47419115-616-1.html
House For Sale Location: Sector N Main Boulevard Bahria Enclave Islamabad,"Bahria Enclave - Sector N, Bahria Enclave",2.45 Crore,https://www.zameen.com//Property/bahria_enclave_bahria_enclave_-_sector_n_house_for_sale_location_sector_n_main_boulevard_bahria_enclave_islamabad-47907550-11975-1.html
Brand New 10 Marla Designer House C1 Bahria Enclave Islamabad,"Bahria Enclave, Bahria Town",5.5 Crore,https://www.zameen.com//Property/bahria_town_bahria_enclave_brand_new_10_marla_designer_house_c1_bahria_enclave_islamabad-45860589-1705-1.html
Two Bedroom Unfurnished Apartments Available For Sale In Capital Residencia E-11,"Capital Residencia, Margalla Hills-2",1.8 Crore,https://www.zameen.com//Property/margalla_hills_2_capital_residencia_two_bedroom_unfurnished_apartments_available_for_sale_in_capital_residencia_e-11-48039751-10573-1.html
25x40 House For Sale In G-14 4,"G-14/4, G-14",3.1 Crore,https://www.zameen.com//Property/g_14_g-14_4_25x40_house_for_sale_in_g-14_4-48135119-3346-1.html
5 Marla Brand New House Available For Sale Sec H,"Bahria Enclave, Bahria Town",2.55 Crore,https://www.zameen.com//Property/bahria_town_bahria_enclave_5_marla_brand_new_house_available_for_sale_sec_h-48165730-1705-1.html
One Kanal Beautiful Luxurious House,"DHA Defence Phase 2, DHA Defence",11.5 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_one_kanal_beautiful_luxurious_house-47079292-339-1.html
One Kanal Beautiful Luxurious House,"DHA Defence Phase 2, DHA Defence",13 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_one_kanal_beautiful_luxurious_house-47079381-339-1.html
One Kanal Brand New Beautiful Triple Unit House For Sale Prime Location Of Dha 2,"DHA Defence Phase 2, DHA Defence",12 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_one_kanal_brand_new_beautiful_triple_unit_house_for_sale_prime_location_of_dha_2-47083280-339-1.html
Beautiful House Size 25-40 Ideal location Double story location i-10-1 near markaz,"I-10/1, I-10",2.65 Crore,https://www.zameen.com//Property/i_10_i-10_1_beautiful_house_size_25-40_ideal_location_double_story_location_i-10-1_near_markaz-48167484-3420-1.html
Ideal location size 25-60 I-10-2 House for sale,"I-10/2, I-10",2.85 Crore,https://www.zameen.com//Property/i_10_i-10_2_ideal_location_size_25-60_i-10-2_house_for_sale-48167425-3421-1.html
F. 11 New Stylish Double Storey House 5 Beds Wooden Floors Price 20 Crore,"F-11, Islamabad",20 Crore,https://www.zameen.com//Property/islamabad_f-11_f_11_new_stylish_double_storey_house_5_beds_wooden_floors_price_20_crore-42401503-163-1.html
F11 Front Open 666 Square Yard Double Storey 6 Beds 2 Kitchens 20 Crore,"F-11, Islamabad",20 Crore,https://www.zameen.com//Property/islamabad_f-11_f11_front_open_666_square_yard_double_storey_6_beds_2_kitchens_20_crore-42693839-163-1.html
14 Marla 40 X 80 Brand New Modern Luxury Corner House For Sale In G. 13 Islamabad,"G-13, Islamabad",10.85 Crore,https://www.zameen.com//Property/islamabad_g-13_14_marla_40_x_80_brand_new_modern_luxury_corner_house_for_sale_in_g_13_islamabad-48167331-330-1.html
1 Kanal Brand New Double Unit House For Sale In Dha 2 Islamabad,"DHA Defence Phase 2, DHA Defence",9.95 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_double_unit_house_for_sale_in_dha_2_islamabad-47937230-339-1.html
1 Kanal Brand New Designer House Available For Sale In DHA 2 Islamabad,"DHA Defence Phase 2, DHA Defence",13 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_designer_house_available_for_sale_in_dha_2_islamabad-48027575-339-1.html
1450 Square Feet Flat In Bahria Enclave For Sale At Good Location,"Bahria Enclave, Bahria Town",1.89 Crore,https://www.zameen.com//Property/bahria_town_bahria_enclave_1450_square_feet_flat_in_bahria_enclave_for_sale_at_good_location-48018648-1705-1.html
Excellent Apartment For Sale In Karakoram Apartments,"Karakoram Diplomatic Enclave, Islamabad",13 Crore,https://www.zameen.com//Property/islamabad_karakoram_diplomatic_enclave_excellent_apartment_for_sale_in_karakoram_apartments-47864660-9063-1.html
Ultra-Modern Designer Brand New 1 Kanal House For Sale,"DHA Defence Phase 2, DHA Defence",11.9 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_ultra-modern_designer_brand_new_1_kanal_house_for_sale-47889976-339-1.html
House for Sale,"Bahria Town, Islamabad",13 Crore,https://www.zameen.com//Property/islamabad_bahria_town_house_for_sale-47874144-383-1.html
1 Kanal Brand New Home For Sale In Dha Phase 2 Islamabad,"DHA Phase 2 - Sector A, DHA Defence Phase 2",13 Crore,https://www.zameen.com//Property/dha_defence_phase_2_dha_phase_2_-_sector_a_1_kanal_brand_new_home_for_sale_in_dha_phase_2_islamabad-45236102-3196-1.html
Well-Constructed Brand New House Available For Sale In G-15,"G-15, Islamabad",3.5 Crore,https://www.zameen.com//Property/islamabad_g-15_well-constructed_brand_new_house_available_for_sale_in_g-15-48023067-764-1.html
Brand New Auspicious Design House On Prime Location Up For Sale,"DHA Defence Phase 2, DHA Defence",13.95 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_brand_new_auspicious_design_house_on_prime_location_up_for_sale-47506240-339-1.html
G-13 25x40 Double Storey House Available,"G-13, Islamabad",3.1 Crore,https://www.zameen.com//Property/islamabad_g-13_g-13_25x40_double_storey_house_available-48113564-330-1.html
Brand New Sector H 5 marla house for sale,"Bahria Enclave - Sector H, Bahria Enclave",2.3 Crore,https://www.zameen.com//Property/bahria_enclave_bahria_enclave_-_sector_h_brand_new_sector_h_5_marla_house_for_sale-46890366-11983-1.html
