Title,location,Price,urls
We Offer 20 Marla Brand New Designer House for Sale on (Urgent Basis) on (Investor Rate) in DHA 2 Islamabad,"DHA Defence Phase 2, DHA Defence",8.85 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_we_offer_20_marla_brand_new_designer_house_for_sale_on_urgent_basis_on_investor_rate_in_dha_2_islamabad-47845526-339-1.html
Best Ever Designer Luxurious House For Sale At Dha 2,"DHA Defence Phase 2, DHA Defence",8.5 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_best_ever_designer_luxurious_house_for_sale_at_dha_2-45573311-339-1.html
luxury 1 bed apartment in zarkon heights,"Zarkon Heights, G-15",1.05 Crore,https://www.zameen.com//Property/g_15_zarkon_heights_luxury_1_bed_apartment_in_zarkon_heights-47535723-10169-1.html
Semi Furnished Splendor 1250 Sq ft Flat For Sale In The Royal Mall & Residency,"Bahria Enclave, Bahria Town",1.63 Crore,https://www.zameen.com//Property/bahria_town_bahria_enclave_semi_furnished_splendor_1250_sq_ft_flat_for_sale_in_the_royal_mall_residency-48093536-1705-1.html
8 Marla Brand New House in DHA Phase 3 Sector B Available for Sale,"DHA Defence Phase 3, DHA Defence",4 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_3_8_marla_brand_new_house_in_dha_phase_3_sector_b_available_for_sale-48148906-8412-1.html
I-10/2 Near By Chambeli Road Nd Near By Park VVip Location Pillar Style House For Sale,"I-10, Islamabad",3.35 Crore,https://www.zameen.com//Property/islamabad_i-10_i-10_2_near_by_chambeli_road_nd_near_by_park_vvip_location_pillar_style_house_for_sale-48163617-173-1.html
Beautiful Designer 1 Kanal House For Sale SECTOR H DHA Phase 2 Defence Islamabad,"DHA Defence Phase 2, DHA Defence",13.95 Crore,https://www.zameen.com//Property/dha_defence_dha_defence_phase_2_beautiful_designer_1_kanal_house_for_sale_sector_h_dha_phase_2_defence_islamabad-47620130-339-1.html
30x60 7 Marla Brand New Luxury House For Sale G-13,"G-13, Islamabad",6.3 Crore,https://www.zameen.com//Property/islamabad_g-13_30x60_7_marla_brand_new_luxury_house_for_sale_g-13-47863529-330-1.html
Brand New 1 Kanal House For Sale,"Top City 1 - Block B, Top City 1",8.5 Crore,https://www.zameen.com//Property/top_city_1_top_city_1_-_block_b_brand_new_1_kanal_house_for_sale-47201713-9230-1.html
"2 Kanal House for sale in DHA-2 ,Sector H , Islamabad","DHA Phase 2 - Sector H, DHA Defence Phase 2",16 Crore,https://www.zameen.com//Property/dha_defence_phase_2_dha_phase_2_-_sector_h_2_kanal_house_for_sale_in_dha-2_sector_h_islamabad-48082588-3203-1.html
Brand New House For Sale In G15 Size 40*80 Water Bore Working Very Well Near To Markaz Masjid Park Best Location Five Options Available,"G-15, Islamabad",5.7 Crore,https://www.zameen.com//Property/islamabad_g-15_brand_new_house_for_sale_in_g15_size_40_80_water_bore_working_very_well_near_to_markaz_masjid_park_best_location_five_options_available-48159718-764-1.html
"Exclusive Offer: Modern 1-Bed Apartment in Safra Prima, Downtown Park View City Islamabad - 30% Down Payment, Easy Installments","Park View City - Downtown Block, Park View City",1.07 Crore,https://www.zameen.com//Property/park_view_city_park_view_city_-_downtown_block_exclusive_offer_modern_1-bed_apartment_in_safra_prima_downtown_park_view_city_islamabad_-_30_down_payment_easy_installments-48021183-20871-1.html
The Gate One Bedroom Standard Size 650 Sq Ft Apartment For Sale,"The Gate Mall & Apartments, Faisal Town - F-18",47 Lakh,https://www.zameen.com//Property/faisal_town_f_18_the_gate_mall_apartments_the_gate_one_bedroom_standard_size_650_sq_ft_apartment_for_sale-47394522-11456-1.html
The Gate Executive - 1 Bedroom Size 800 Sqft Apartment For Sale,"The Gate Mall & Apartments, Faisal Town - F-18",55 Lakh,https://www.zameen.com//Property/faisal_town_f_18_the_gate_mall_apartments_the_gate_executive_-_1_bedroom_size_800_sqft_apartment_for_sale-47394577-11456-1.html
3 Beds Brand New 5 Mara Bungalow For Sale Located In Bahria Enclave Islamabad,"Bahria Enclave - Sector N, Bahria Enclave",2.3 Crore,https://www.zameen.com//Property/bahria_enclave_bahria_enclave_-_sector_n_3_beds_brand_new_5_mara_bungalow_for_sale_located_in_bahria_enclave_islamabad-46586711-11975-1.html
Brand New 3 Beds 5 Marla House For Sale Located In Bahria Enclave,"Bahria Enclave, Bahria Town",2.5 Crore,https://www.zameen.com//Property/bahria_town_bahria_enclave_brand_new_3_beds_5_marla_house_for_sale_located_in_bahria_enclave-46610311-1705-1.html
Brand New House For Sale Sector B1 Bahria Enclave Islamabad,"Bahria Enclave - Sector B1, Bahria Enclave",2.85 Crore,https://www.zameen.com//Property/bahria_enclave_bahria_enclave_-_sector_b1_brand_new_house_for_sale_sector_b1_bahria_enclave_islamabad-47081350-11972-1.html
